Forced forging disabled for nethash 704f232786a9bff25d0630c06abbc34957448ba6309d6dcef949cf9a6f43954a
[inf] 2017-12-21 01:00:22 | LWF Node started: 0.0.0.0:18124
[inf] 2017-12-21 01:00:22 | Modules ready and launched
[inf] 2017-12-21 01:00:22 | Blocks 1
[inf] 2017-12-21 01:00:23 | Genesis block loading - 0.2481 %: applied 1 of 403 transactions
[inf] 2017-12-21 01:00:24 | Genesis block loading - 25.06 %: applied 101 of 403 transactions
[inf] 2017-12-21 01:00:26 | Genesis block loading - 49.88 %: applied 201 of 403 transactions
[inf] 2017-12-21 01:00:28 | Genesis block loading - 74.69 %: applied 301 of 403 transactions
[inf] 2017-12-21 01:00:30 | Genesis block loading - 99.50 %: applied 401 of 403 transactions
[inf] 2017-12-21 01:00:30 | Genesis block loading - 100.0 %: applied 403 of 403 transactions
[inf] 2017-12-21 01:00:30 | Blockchain ready
[inf] 2017-12-21 01:00:30 | Imported peers from database - {"count":0}
[inf] 2017-12-21 01:00:30 | Starting sync
[inf] 2017-12-21 01:00:30 | Broadhash consensus now 0 %
[log] 2017-12-21 01:00:30 | Loading transactions from: 51.254.210.64:18124
[inf] 2017-12-21 01:00:30 | Loading blocks from: 51.254.210.64:18124
[log] 2017-12-21 01:00:30 | POST /peer/blocks from 139.59.179.52
[log] 2017-12-21 01:00:30 | POST /peer/blocks from 51.254.210.64
[log] 2017-12-21 01:00:30 | POST /peer/blocks from 146.185.158.174
[log] 2017-12-21 01:00:30 | Loading signatures from: 146.185.158.174:18124
[inf] 2017-12-21 01:00:30 | Block 219824603063210790 loaded from: 51.254.210.64:18124 - height: 2
[inf] 2017-12-21 01:00:30 | Block 4758498260869480144 loaded from: 51.254.210.64:18124 - height: 3
[inf] 2017-12-21 01:00:30 | Block 8509950606241631369 loaded from: 51.254.210.64:18124 - height: 4
[inf] 2017-12-21 01:00:30 | Block 6556012461194803275 loaded from: 51.254.210.64:18124 - height: 5
[inf] 2017-12-21 01:00:30 | Block 16602832054670599928 loaded from: 51.254.210.64:18124 - height: 6
[inf] 2017-12-21 01:00:30 | Block 699768989379927220 loaded from: 51.254.210.64:18124 - height: 7
[inf] 2017-12-21 01:00:30 | Block 3436574373804729206 loaded from: 51.254.210.64:18124 - height: 8
[inf] 2017-12-21 01:00:30 | Block 7149321507161820856 loaded from: 51.254.210.64:18124 - height: 9
[inf] 2017-12-21 01:00:30 | Block 15466911945327032100 loaded from: 51.254.210.64:18124 - height: 10
[inf] 2017-12-21 01:00:30 | Block 699819333427017155 loaded from: 51.254.210.64:18124 - height: 11
[inf] 2017-12-21 01:00:30 | Block 5127621989175642999 loaded from: 51.254.210.64:18124 - height: 12
[inf] 2017-12-21 01:00:30 | Block 15139373863341121002 loaded from: 51.254.210.64:18124 - height: 13
[inf] 2017-12-21 01:00:30 | Block 17977478212782087328 loaded from: 51.254.210.64:18124 - height: 14
[inf] 2017-12-21 01:00:30 | Block 5000195634471186787 loaded from: 51.254.210.64:18124 - height: 15
[inf] 2017-12-21 01:00:30 | Block 5295324039266668379 loaded from: 51.254.210.64:18124 - height: 16
[inf] 2017-12-21 01:00:30 | Block 13134662441527176270 loaded from: 51.254.210.64:18124 - height: 17
[inf] 2017-12-21 01:00:30 | Block 10534853389263460365 loaded from: 51.254.210.64:18124 - height: 18
[inf] 2017-12-21 01:00:30 | Block 13781676818784119184 loaded from: 51.254.210.64:18124 - height: 19
[inf] 2017-12-21 01:00:30 | Block 18423843287802780699 loaded from: 51.254.210.64:18124 - height: 20
[inf] 2017-12-21 01:00:30 | Block 12281824930786034089 loaded from: 51.254.210.64:18124 - height: 21
[inf] 2017-12-21 01:00:30 | Block 17583676442962615926 loaded from: 51.254.210.64:18124 - height: 22
[inf] 2017-12-21 01:00:30 | Block 6202373507068742623 loaded from: 51.254.210.64:18124 - height: 23
[inf] 2017-12-21 01:00:30 | Block 16963256055450413205 loaded from: 51.254.210.64:18124 - height: 24
[inf] 2017-12-21 01:00:30 | Block 6237282253947994299 loaded from: 51.254.210.64:18124 - height: 25
[inf] 2017-12-21 01:00:31 | Block 18434054162205536050 loaded from: 51.254.210.64:18124 - height: 26
[inf] 2017-12-21 01:00:31 | Block 1656456491936836914 loaded from: 51.254.210.64:18124 - height: 27
[inf] 2017-12-21 01:00:31 | Block 6760722977392369542 loaded from: 51.254.210.64:18124 - height: 28
[inf] 2017-12-21 01:00:31 | Block 14430881168121315697 loaded from: 51.254.210.64:18124 - height: 29
[inf] 2017-12-21 01:00:31 | Block 12211462585388149278 loaded from: 51.254.210.64:18124 - height: 30
[inf] 2017-12-21 01:00:31 | Block 10025920650485865994 loaded from: 51.254.210.64:18124 - height: 31
[inf] 2017-12-21 01:00:31 | Block 6688294390283753726 loaded from: 51.254.210.64:18124 - height: 32
[inf] 2017-12-21 01:00:31 | Block 9672222457833720722 loaded from: 51.254.210.64:18124 - height: 33
[inf] 2017-12-21 01:00:31 | Block 14287355457792575461 loaded from: 51.254.210.64:18124 - height: 34
[inf] 2017-12-21 01:00:31 | Looking for common block with: 146.185.158.174:18124
[inf] 2017-12-21 01:00:31 | Found common block: 14287355457792575461 with: 146.185.158.174:18124
[inf] 2017-12-21 01:00:31 | Loading blocks from: 146.185.158.174:18124
[inf] 2017-12-21 01:00:31 | Block 15924126716552613519 loaded from: 146.185.158.174:18124 - height: 35
[inf] 2017-12-21 01:00:31 | Block 17997214460468002671 loaded from: 146.185.158.174:18124 - height: 36
[inf] 2017-12-21 01:00:31 | Block 9622351913232073812 loaded from: 146.185.158.174:18124 - height: 37
[inf] 2017-12-21 01:00:31 | Block 8853202161004564010 loaded from: 146.185.158.174:18124 - height: 38
[inf] 2017-12-21 01:00:31 | Block 2540333578320565 loaded from: 146.185.158.174:18124 - height: 39
[inf] 2017-12-21 01:00:31 | Block 10824572088018604613 loaded from: 146.185.158.174:18124 - height: 40
